model,model_tag,attack,eps,feature_name,mean_abs_delta_raw,std_abs_delta_raw,min_abs_delta_raw,max_abs_delta_raw,mean_abs_delta_raw_flipped,std_abs_delta_raw_flipped,feature_rank
LSTM,lstm,FGSM,0.05,ack_flag_number,0.04999999406933785,1.824778458495934e-08,0.04999995231628418,0.050000011920928955,0.0499999972131491,1.3891558172091844e-08,37
LSTM,lstm,FGSM,0.05,TCP,0.049999992803633216,2.1977217209870116e-08,0.04999995231628418,0.050000011920928955,0.049999999484643634,1.5040097939295947e-08,38
LSTM,lstm,FGSM,0.05,IAT,4.6357610832961764e-05,2.4179523146833434e-10,4.6356924984128356e-05,4.636046179079534e-05,4.635762053004862e-05,1.4462241451075303e-10,39
LSTM,lstm,FGSM,0.10,Tot sum,4893.900358736718,0.0005711354635385185,4893.895332813263,4893.901166796684,4893.9000798063835,0.0002278540824693787,1
LSTM,lstm,FGSM,0.10,Variance,4431.533727856406,0.013298857590023595,4431.46558329463,4431.80368244648,4431.533665186759,0.010414608379066888,2
LSTM,lstm,FGSM,0.10,Rate,2475.189075109325,0.001081827384124557,2475.151165940333,2475.1983764226316,2475.1891773478255,0.0011006425978756509,3
LSTM,lstm,FGSM,0.10,Max,101.40000048166193,2.8138419038808048e-05,101.39990329742432,101.40038681030273,101.39999825910971,2.3637495148781186e-05,4
LSTM,lstm,FGSM,0.10,AVG,51.80000264049737,1.0668002143419877e-05,51.79995059967041,51.800074100494385,51.79999987391707,8.130126259723796e-06,5
LSTM,lstm,FGSM,0.10,Tot size,51.80000219066914,1.0928431134346258e-05,51.79995059967041,51.800074100494385,51.79999983139575,8.1799389498631e-06,6
LSTM,lstm,FGSM,0.10,Std,21.05120340020414,1.0237941968519537e-05,21.051186894219427,21.05128727419651,21.05120523750948,8.31774879755969e-06,7
LSTM,lstm,FGSM,0.10,Number,9.0000006411653,8.754726717702872e-07,8.999996781349182,9.000002145767212,9.000000638948567,8.735997161700392e-07,8
LSTM,lstm,FGSM,0.10,Header_Length,1.2080001430709,1.8172701394505906e-07,1.2079988403320385,1.2080002803802472,1.2080000916201963,1.7863566317968232e-07,9
LSTM,lstm,FGSM,0.10,Protocol Type,1.0999999682369828,3.3864487271655987e-07,1.099998950958252,1.100000262260437,1.1000000788211002,1.071679792031505e-07,10
LSTM,lstm,FGSM,0.10,ack_count,0.700000194901824,7.168530645997848e-07,0.6999993324279785,0.7000026702880859,0.7000000875485974,4.099883519954962e-07,11
LSTM,lstm,FGSM,0.10,Min,0.599999590986371,4.59136306789346e-06,0.5999908447265625,0.60003662109375,0.6000001532299973,2.2825387348245225e-06,12
LSTM,lstm,FGSM,0.10,Time_To_Live,0.19100026717491553,7.35524041246118e-07,0.19099745177663863,0.1910047378623858,0.19100023970880195,7.754851527161452e-07,13
LSTM,lstm,FGSM,0.10,TCP,0.10000001182377338,1.114409110114395e-08,0.10000000149011612,0.10000002384185791,0.10000000760221445,9.96284586182078e-09,14
LSTM,lstm,FGSM,0.10,ack_flag_number,0.1000000068116188,9.519793229578166e-09,0.10000000149011612,0.10000002384185791,0.10000000614516134,9.07628354065449e-09,15
LSTM,lstm,FGSM,0.10,UDP,0.10000000554472208,8.613226805466794e-09,0.10000000149011612,0.10000002384185791,0.10000000697971759,9.621144954531722e-09,16
