task,model,class_index,class_name,support,precision,recall,f1,roc_auc_ovr
34class,serial,32,VULNERABILITYSCAN,39999,0.49040911664779163,0.6928673216830421,0.5743179533939137,0.9723204607983765
34class,serial,33,XSS,741,0.0,0.0,0.0,0.9619193543407261
34class,dualpath,0,BACKDOOR_MALWARE,615,0.0,0.0,0.0,0.9565744634623197
34class,dualpath,1,BENIGN,39998,0.5638478110815955,0.6739586979348967,0.6140057170840594,0.9784946316105034
34class,dualpath,2,BROWSERHIJACKING,1126,0.9523809523809523,0.017761989342806393,0.03487358326068003,0.9556290592048767
34class,dualpath,3,COMMANDINJECTION,1034,0.8134328358208955,0.10541586073500966,0.18664383561643835,0.9704300178489209
34class,dualpath,4,DDOS-ACK_FRAGMENTATION,39996,0.9846073376671897,0.9883738373837384,0.9864869923264084,0.9999709353529987
34class,dualpath,5,DDOS-HTTP_FLOOD,5519,0.8432883750802826,0.713716252944374,0.7731108930323847,0.9983829108310532
34class,dualpath,6,DDOS-ICMP_FLOOD,40000,0.999824820440952,0.9988,0.9993121474755813,0.9999922249044905
34class,dualpath,7,DDOS-ICMP_FRAGMENTATION,39996,0.9870959659233275,0.9849734973497349,0.9860335894676244,0.9999490613866728
34class,dualpath,8,DDOS-PSHACK_FLOOD,40000,0.9993235286748678,0.99715,0.998235581194549,0.999996735798853
34class,dualpath,9,DDOS-RSTFINFLOOD,40000,0.9999499461921566,0.998875,0.9994121840489263,0.9999882644020954
34class,dualpath,10,DDOS-SLOWLORIS,4480,0.7224830464267084,0.9274553571428571,0.8122373179552341,0.9993517153782415
34class,dualpath,11,DDOS-SYNONYMOUSIP_FLOOD,40000,0.4076536154536438,0.863125,0.5537644756680461,0.9702129020447099
34class,dualpath,12,DDOS-SYN_FLOOD,39999,0.4533004985284401,0.18867971699292482,0.26645247846349385,0.9606815582569864
34class,dualpath,13,DDOS-TCP_FLOOD,39999,0.7379298291606589,0.4222355558888972,0.537130680914671,0.985397355663712
34class,dualpath,14,DDOS-UDP_FLOOD,39999,0.8482501861504095,0.42721068026700665,0.5682362330407024,0.9904599957198414
34class,dualpath,15,DDOS-UDP_FRAGMENTATION,39996,0.9928274820687052,0.9863486348634863,0.9895774541897129,0.9999303143435744
34class,dualpath,16,DICTIONARYBRUTEFORCE,2504,1.0,0.14896166134185304,0.25929787973583596,0.9566869374390727
34class,dualpath,17,DNS_SPOOFING,34293,0.7264564169951818,0.6770769544805062,0.7008980454305336,0.98382795218782
34class,dualpath,18,DOS-HTTP_FLOOD,13759,0.885233251490705,0.9171451413620176,0.9009066895123866,0.9992475355058178
34class,dualpath,19,DOS-SYN_FLOOD,39999,0.6635595530117198,0.30433260831520786,0.4172836966954614,0.9732840838394117
34class,dualpath,20,DOS-TCP_FLOOD,39999,0.5949446966642711,0.8485462136553413,0.699468304344242,0.9852938398947954
34class,dualpath,21,DOS-UDP_FLOOD,39998,0.6160936846507737,0.9207210360518026,0.7382157497519369,0.990316270148665
34class,dualpath,22,MIRAI-GREETH_FLOOD,39997,0.98785536159601,0.990399279945996,0.989125685106808,0.9998656997577282
34class,dualpath,23,MIRAI-GREIP_FLOOD,39998,0.992897977686554,0.9856742837141858,0.9892729439809297,0.9998425756551838
34class,dualpath,24,MIRAI-UDPPLAIN,39997,0.9923776310873085,0.9960497037277796,0.9942102767587532,0.9999800998176658
34class,dualpath,25,MITM-ARPSPOOFING,39998,0.7014292571062877,0.6576578828941447,0.6788387096774193,0.9840847056892024
34class,dualpath,26,RECON-HOSTDISCOVERY,25735,0.6513488372093024,0.680202059452108,0.6654628397643033,0.985650127727266
34class,dualpath,27,RECON-OSSCAN,18793,0.42898300201670986,0.07923162879795669,0.1337585339561624,0.9565294243950456
34class,dualpath,28,RECON-PINGSWEEP,432,0.0,0.0,0.0,0.9468967748740569
34class,dualpath,29,RECON-PORTSCAN,15746,0.485577920730442,0.2972183411660104,0.36873621178695243,0.9618860704523526
34class,dualpath,30,SQLINJECTION,1004,0.0,0.0,0.0,0.9631256793739319
34class,dualpath,31,UPLOADING_ATTACK,239,0.0,0.0,0.0,0.9680114757710363
34class,dualpath,32,VULNERABILITYSCAN,39999,0.468676737722989,0.7546938673466836,0.5782507087579496,0.9738000126508413
34class,dualpath,33,XSS,741,0.0,0.0,0.0,0.9643380812217545
34class,rf,0,BACKDOOR_MALWARE,615,0.9,0.014634146341463415,0.0288,0.9759605760390604
34class,rf,1,BENIGN,39998,0.5812612342720191,0.776138806940347,0.6647110463995889,0.9834293917588348
34class,rf,2,BROWSERHIJACKING,1126,0.963963963963964,0.09502664298401421,0.17299919159256266,0.974845431839081
34class,rf,3,COMMANDINJECTION,1034,0.9230769230769231,0.20889748549323017,0.34069400630914826,0.9819047687314033
34class,rf,4,DDOS-ACK_FRAGMENTATION,39996,0.9912008022060667,0.9885738573857386,0.98988558696142,0.9999750931366955
